angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.12,"[346, 154, 225, 276]",0.0,0.03,0.0,0.48,0.14,0.22
0.05,"[347, 156, 214, 269]",0.0,0.02,0.0,0.68,0.15,0.1
0.06,"[345, 155, 217, 272]",0.0,0.02,0.0,0.65,0.13,0.13
0.03,"[346, 157, 215, 270]",0.0,0.02,0.0,0.69,0.21,0.05
0.04,"[343, 154, 222, 271]",0.0,0.03,0.0,0.79,0.13,0.01
0.05,"[345, 151, 217, 272]",0.0,0.06,0.01,0.73,0.11,0.04
0.04,"[347, 152, 218, 275]",0.0,0.03,0.0,0.42,0.13,0.37
0.06,"[347, 154, 215, 270]",0.0,0.04,0.0,0.74,0.13,0.02
0.06,"[342, 154, 224, 273]",0.0,0.04,0.0,0.69,0.16,0.05
0.06,"[344, 155, 219, 270]",0.0,0.01,0.0,0.63,0.11,0.19
0.06,"[345, 155, 220, 269]",0.0,0.01,0.0,0.7,0.1,0.13
0.05,"[342, 156, 221, 271]",0.0,0.02,0.0,0.75,0.14,0.03
0.05,"[344, 155, 220, 270]",0.0,0.01,0.0,0.68,0.1,0.16
0.06,"[344, 155, 220, 269]",0.0,0.01,0.0,0.59,0.11,0.22
0.05,"[343, 154, 220, 271]",0.0,0.02,0.0,0.71,0.1,0.12
0.06,"[344, 156, 220, 271]",0.0,0.01,0.0,0.78,0.13,0.03
0.05,"[342, 155, 221, 272]",0.0,0.01,0.0,0.79,0.14,0.0
0.06,"[342, 156, 222, 271]",0.0,0.02,0.0,0.75,0.18,0.0
0.04,"[344, 155, 221, 270]",0.0,0.01,0.0,0.68,0.12,0.14
0.05,"[346, 152, 218, 273]",0.0,0.01,0.0,0.58,0.1,0.26
0.04,"[344, 154, 220, 271]",0.0,0.01,0.0,0.86,0.08,0.0
0.07,"[345, 158, 214, 266]",0.0,0.05,0.0,0.7,0.17,0.01
0.04,"[343, 154, 218, 270]",0.0,0.02,0.0,0.76,0.1,0.09
0.03,"[344, 155, 217, 269]",0.0,0.01,0.0,0.63,0.07,0.25
0.05,"[345, 156, 216, 268]",0.0,0.03,0.0,0.58,0.1,0.24
0.06,"[346, 157, 215, 267]",0.0,0.02,0.01,0.56,0.16,0.2
0.03,"[346, 155, 217, 270]",0.0,0.02,0.0,0.86,0.08,0.0
0.02,"[341, 152, 223, 274]",0.0,0.01,0.0,0.88,0.07,0.02
0.04,"[343, 155, 218, 272]",0.0,0.02,0.0,0.8,0.13,0.01
0.03,"[342, 156, 220, 270]",0.0,0.02,0.0,0.74,0.14,0.06
0.07,"[345, 153, 213, 270]",0.0,0.04,0.01,0.57,0.07,0.26
0.05,"[343, 154, 218, 272]",0.0,0.03,0.0,0.55,0.13,0.24
0.04,"[343, 153, 216, 274]",0.0,0.03,0.01,0.78,0.07,0.07
0.02,"[342, 154, 220, 272]",0.0,0.02,0.0,0.86,0.09,0.01
0.04,"[343, 156, 221, 271]",0.0,0.02,0.0,0.77,0.16,0.0
0.06,"[342, 155, 222, 269]",0.0,0.02,0.01,0.51,0.11,0.3
0.14,"[344, 157, 221, 270]",0.0,0.04,0.0,0.52,0.3,0.0
0.02,"[340, 153, 225, 273]",0.0,0.02,0.0,0.88,0.07,0.01
0.07,"[341, 152, 226, 275]",0.0,0.03,0.0,0.75,0.13,0.02
0.03,"[344, 156, 218, 270]",0.0,0.01,0.0,0.79,0.14,0.02
0.02,"[345, 156, 216, 270]",0.0,0.01,0.0,0.82,0.13,0.03
0.04,"[346, 157, 214, 268]",0.0,0.03,0.0,0.79,0.13,0.0
0.04,"[343, 156, 216, 267]",0.0,0.02,0.0,0.87,0.07,0.01
0.06,"[340, 151, 223, 274]",0.0,0.02,0.0,0.83,0.09,0.0
0.05,"[341, 154, 219, 272]",0.0,0.01,0.01,0.73,0.16,0.04
0.07,"[339, 151, 224, 274]",0.0,0.01,0.0,0.75,0.1,0.06
0.02,"[342, 154, 221, 271]",0.0,0.01,0.0,0.91,0.05,0.01
0.08,"[343, 154, 218, 270]",0.0,0.04,0.0,0.76,0.11,0.01
0.09,"[345, 156, 219, 271]",0.0,0.04,0.0,0.41,0.2,0.26
0.08,"[349, 150, 225, 278]",0.0,0.03,0.0,0.57,0.15,0.18
0.04,"[344, 155, 223, 273]",0.0,0.03,0.0,0.53,0.24,0.16
0.04,"[344, 155, 221, 270]",0.0,0.02,0.01,0.69,0.17,0.07
0.05,"[342, 159, 218, 266]",0.0,0.07,0.0,0.64,0.24,0.0
0.07,"[333, 149, 221, 272]",0.0,0.02,0.01,0.51,0.18,0.22
0.12,"[302, 156, 204, 244]",0.0,0.03,0.06,0.53,0.19,0.07
0.04,"[269, 146, 204, 244]",0.0,0.02,0.05,0.72,0.16,0.02
0.13,"[246, 158, 199, 232]",0.0,0.06,0.01,0.4,0.4,0.0
0.05,"[240, 161, 185, 225]",0.0,0.07,0.01,0.65,0.22,0.0
0.03,"[229, 167, 180, 216]",0.0,0.04,0.04,0.62,0.19,0.07
0.04,"[229, 180, 168, 203]",0.0,0.11,0.03,0.38,0.31,0.12
0.06,"[237, 181, 157, 195]",0.0,0.22,0.03,0.48,0.21,0.01
0.05,"[242, 188, 149, 183]",0.0,0.12,0.01,0.55,0.26,0.01
0.06,"[250, 191, 142, 172]",0.0,0.06,0.02,0.66,0.18,0.02
0.05,"[258, 198, 139, 173]",0.0,0.16,0.04,0.37,0.34,0.04
0.07,"[266, 210, 137, 168]",0.0,0.2,0.01,0.23,0.48,0.0
0.04,"[271, 208, 138, 169]",0.0,0.1,0.03,0.48,0.35,0.0
0.03,"[276, 212, 136, 169]",0.0,0.21,0.01,0.16,0.59,0.0
0.09,"[278, 243, 46, 54]",0.0,0.02,0.6,0.08,0.21,0.0
0.04,"[267, 212, 142, 168]",0.0,0.12,0.01,0.3,0.53,0.01
0.14,"[255, 211, 155, 178]",0.0,0.12,0.01,0.39,0.33,0.01
0.01,"[261, 207, 148, 176]",0.0,0.02,0.06,0.73,0.15,0.03
0.02,"[259, 207, 146, 178]",0.0,0.02,0.01,0.85,0.1,0.01
0.04,"[272, 215, 138, 172]",0.0,0.15,0.0,0.61,0.2,0.01
0.09,"[268, 207, 147, 187]",0.0,0.05,0.02,0.72,0.1,0.02
0.05,"[280, 214, 136, 171]",0.0,0.04,0.0,0.69,0.21,0.01
0.06,"[284, 207, 139, 172]",0.0,0.05,0.01,0.67,0.2,0.01
0.04,"[287, 210, 130, 165]",0.0,0.13,0.01,0.43,0.38,0.01
0.04,"[288, 208, 136, 167]",0.0,0.04,0.0,0.36,0.53,0.02
0.06,"[290, 208, 133, 166]",0.0,0.05,0.04,0.38,0.41,0.06
0.06,"[290, 209, 134, 167]",0.0,0.05,0.07,0.54,0.26,0.02
0.05,"[294, 212, 129, 159]",0.0,0.12,0.01,0.49,0.32,0.0
0.08,"[289, 211, 133, 161]",0.0,0.16,0.01,0.32,0.42,0.01
0.07,"[298, 212, 125, 156]",0.0,0.14,0.01,0.48,0.3,0.01
0.05,"[292, 206, 132, 164]",0.0,0.08,0.02,0.55,0.31,0.0
0.09,"[291, 213, 131, 162]",0.0,0.16,0.02,0.34,0.38,0.01
0.04,"[289, 214, 131, 160]",0.0,0.17,0.01,0.22,0.52,0.03
0.03,"[285, 201, 134, 174]",0.0,0.11,0.02,0.66,0.17,0.01
0.06,"[284, 208, 134, 168]",0.0,0.13,0.01,0.39,0.42,0.0
0.06,"[278, 192, 143, 185]",0.0,0.19,0.01,0.47,0.25,0.02
0.03,"[253, 188, 156, 193]",0.0,0.05,0.01,0.65,0.26,0.0
0.03,"[236, 180, 161, 206]",0.0,0.05,0.02,0.78,0.1,0.02
0.02,"[225, 193, 164, 203]",0.0,0.03,0.02,0.72,0.2,0.0
0.04,"[213, 191, 173, 211]",0.0,0.07,0.01,0.71,0.17,0.01
0.03,"[217, 196, 169, 209]",0.0,0.05,0.02,0.69,0.2,0.0
0.04,"[221, 198, 165, 205]",0.0,0.06,0.01,0.67,0.22,0.0
0.03,"[222, 199, 164, 203]",0.0,0.05,0.0,0.58,0.34,0.0
0.04,"[222, 197, 163, 203]",0.0,0.08,0.01,0.51,0.36,0.0
0.03,"[222, 195, 165, 205]",0.0,0.07,0.01,0.67,0.22,0.0
